group,langshort,lang,wloski,turecki,slowenski,szwedzki,francuski,litewski,bosniacki,slowacki,rumunski,azerski,angielski,islandzki,dunski,holenderski,luksemburski,albanski,niemiecki,portugalski,czeski,estonski,lotewski,chorwacki,hiszpanski,wegierski,maltanski,finski,polski,gaelicki,serbski
6,it,wloski,0.0,0.7313240043057051,0.5889773950484392,0.5252099031216362,0.34932185145317546,0.5711517761033369,0.5870398277717976,0.5876856835306782,0.45791173304628635,0.7995694294940796,0.3897093649085038,0.7669321851453176,0.5495801937567276,0.5907427341227126,0.5814854682454252,0.567491926803014,0.5801506996770721,0.3111302475780409,0.6193326157158234,0.6115823466092573,0.6008180839612487,0.5593541442411195,0.3421313240043057,0.7395909580193757,0.6542949407965555,0.6154144241119484,0.6806027987082884,0.7732185145317546,0.5938858988159311
2,tr,turecki,0.7313240043057051,0.0,0.7360602798708289,0.6939504843918192,0.7645209903121636,0.7035522066738429,0.7292572658772875,0.7603875134553283,0.76254036598493,0.42445640473627555,0.7133261571582347,0.755048439181916,0.7168137782561894,0.7621097954790097,0.7973304628632939,0.6918406889128095,0.7571582346609257,0.7284822389666308,0.7564693218514532,0.6843918191603875,0.7280516684607105,0.7285252960172228,0.7758019375672767,0.7539720129171151,0.7676641550053821,0.7446716899892357,0.8310010764262648,0.9032508073196986,0.7110441334768568
1,sl,slowenski,0.5889773950484392,0.7360602798708289,0.0,0.6010333692142088,0.6741872981700754,0.46604951560818086,0.17502691065662002,0.3460495156081808,0.6665662002152852,0.8754790096878364,0.6606243272335846,0.7743810548977395,0.5795479009687836,0.6371582346609257,0.7397631862217439,0.5130678148546824,0.7332615715823466,0.60254036598493,0.3767491926803014,0.5994402583423035,0.5159956942949407,0.17377825618945103,0.6266523143164693,0.6845640473627557,0.7081593110871905,0.6315177610333692,0.5379978471474705,0.9044133476856835,0.1871259418729817
5,se,szwedzki,0.5252099031216362,0.6939504843918192,0.6010333692142088,0.0,0.5424327233584499,0.586307857911733,0.5903121636167923,0.5964693218514532,0.6874488697524219,0.8018945102260495,0.48770721205597417,0.59745963401507,0.35522066738428415,0.5292572658772874,0.5444994617868676,0.5821743810548977,0.5052744886975242,0.5556512378902045,0.60254036598493,0.6071474703982778,0.6139504843918192,0.6181700753498386,0.5882023681377826,0.6707857911733046,0.662475780409042,0.5811410118406889,0.7004951560818083,0.7995263724434877,0.6010333692142088
6,fr,francuski,0.34932185145317546,0.7645209903121636,0.6741872981700754,0.5424327233584499,0.0,0.5910010764262648,0.6764262648008611,0.6440904198062433,0.4843487621097955,0.8231216361679224,0.33636167922497306,0.7541872981700753,0.5266307857911733,0.615113024757804,0.536232508073197,0.5857911733046286,0.5807534983853606,0.33020452099031217,0.6468891280947255,0.6480086114101185,0.5939720129171152,0.6733261571582346,0.37442411194833153,0.7281808396124866,0.6803875134553283,0.6186006458557589,0.7717115177610334,0.7402368137782562,0.6705705059203445
10,lt,litewski,0.5711517761033369,0.7035522066738429,0.46604951560818086,0.586307857911733,0.5910010764262648,0.0,0.43039827771797634,0.5067384284176534,0.5832508073196986,0.8006889128094725,0.5914316469321852,0.7244779332615716,0.6478794402583423,0.6626910656620022,0.6940796555435953,0.4933907427341227,0.6883100107642627,0.506264800861141,0.5557373519913886,0.5514747039827772,0.43216361679224974,0.4207965554359526,0.5867384284176534,0.7127664155005382,0.6728955866523143,0.508762109795479,0.635091496232508,0.8452960172228202,0.432551130247578
1,bs,bosniacki,0.5870398277717976,0.7292572658772875,0.17502691065662002,0.5903121636167923,0.6764262648008611,0.43039827771797634,0.0,0.4089989235737352,0.6576533907427341,0.8459418729817008,0.657481162540366,0.7404090419806243,0.6134768568353067,0.6602798708288482,0.7268030139935414,0.5089343379978472,0.7244348762109796,0.5870828848223897,0.4602368137782562,0.5923358449946179,0.5345102260495156,0.06260495156081808,0.6122712594187298,0.7330893433799784,0.7171151776103337,0.6382346609257266,0.5326587728740582,0.8831431646932185,0.07306781485468246
1,sk,slowacki,0.5876856835306782,0.7603875134553283,0.3460495156081808,0.5964693218514532,0.6440904198062433,0.5067384284176534,0.4089989235737352,0.0,0.6552421959095802,0.8944671689989235,0.6327233584499462,0.7215500538213132,0.6184714747039828,0.6684607104413348,0.7153928955866523,0.5881162540365985,0.7197847147470399,0.5558665231431646,0.21735199138858988,0.6986006458557589,0.5782131324004306,0.36766415500538213,0.6142518837459634,0.6440473627556512,0.7361463939720129,0.6806027987082884,0.5072551130247578,0.9161679224973089,0.36099031216361677
6,ro,rumunski,0.45791173304628635,0.76254036598493,0.6665662002152852,0.6874488697524219,0.4843487621097955,0.5832508073196986,0.6576533907427341,0.6552421959095802,0.0,0.8485252960172228,0.5003659849300323,0.8135629709364909,0.6868460710441334,0.6938643702906351,0.663681377825619,0.6336706135629709,0.6645425188374596,0.4307857911733046,0.6607534983853606,0.6439181916038751,0.5993110871905275,0.6194617868675996,0.46880516684607104,0.807534983853606,0.7200861141011841,0.6421097954790097,0.7539720129171151,0.8070613562970936,0.6544241119483315
2,az,azerski,0.7995694294940796,0.42445640473627555,0.8754790096878364,0.8018945102260495,0.8231216361679224,0.8006889128094725,0.8459418729817008,0.8944671689989235,0.8485252960172228,0.0,0.7984930032292787,0.8247578040904198,0.8448654467168999,0.8873627556512379,0.9071259418729817,0.7751130247578041,0.8684176533907427,0.7846716899892358,0.8942949407965555,0.8198493003229279,0.8283315392895587,0.8344025834230355,0.835005382131324,0.887448869752422,0.7988374596340151,0.8510226049515608,0.9251668460710442,0.9506135629709365,0.8253606027987083
